1,Water_Saccharose_40_percent,Viscometry shear rate table,567.1,60,25.25,0.02417,0.9994,0.02419,-0.03601,NaN,1,-9.89E-08,0.1066,2.91,0.6903,K015
2,Water_Saccharose_40_percent,Viscometry shear rate table,627.1,120,25.24,6.62E-03,1.585,4.18E-03,-0.03594,NaN,1,-2.71E-08,0.1691,1.067,4.481,K015
3,Water_Saccharose_40_percent,Viscometry shear rate table,687.1,180,25.22,0.01282,2.511,5.10E-03,-0.03674,NaN,1,-5.24E-08,0.2679,4.555,1.596,K015
4,Water_Saccharose_40_percent,Viscometry shear rate table,747.1,240,25.22,4.11E-03,3.981,1.03E-03,-0.03692,NaN,1,-1.68E-08,0.4246,3.6,1.765,K015
5,Water_Saccharose_40_percent,Viscometry shear rate table,807.2,300,25.21,7.46E-03,6.31,1.18E-03,-0.03727,NaN,1,3.05E-08,0.673,-0.3576,4.169,K015
6,Water_Saccharose_40_percent,Viscometry shear rate table,867.2,360.1,25.2,0.02325,10,2.32E-03,-0.03761,NaN,1,9.51E-08,1.067,1.343,4.895,K015
7,Water_Saccharose_40_percent,Viscometry shear rate table,927.2,420.1,25.2,0.04352,15.85,2.75E-03,-0.0385,NaN,1,1.78E-07,1.691,1.127,5.104,K015
8,Water_Saccharose_40_percent,Viscometry shear rate table,987.2,480.1,25.2,0.07489,25.12,2.98E-03,-0.03871,NaN,1,3.06E-07,2.68,1.051,1.383,K015
9,Water_Saccharose_40_percent,Viscometry shear rate table,1.05E+03,540.1,25.19,0.1316,39.81,3.31E-03,-0.03946,NaN,1,5.38E-07,4.247,0.9507,3.063,K015
10,Water_Saccharose_40_percent,Viscometry shear rate table,1.11E+03,600.1,25.19,0.2206,63.1,3.50E-03,-0.03881,NaN,1,9.03E-07,6.731,0.9738,1.967,K015
11,Water_Saccharose_40_percent,Viscometry shear rate table,1.17E+03,660.1,25.19,0.376,100,3.76E-03,-0.0401,NaN,1,1.54E-06,10.67,0.988,2.849,K015
