x [mm];delta x[mm];U [V];delta U [V]
11;0.005;0.66;0.02
10.5;0.005;0.58;0.02
10;0.005;0.59;0.02
15.35;0.005;0.33;0.02
19;0.005;0;0.001
16.19;0.005;0.01;0.0004
16;0.005;0.02;0.0004
15.5;0.005;0.094;0.002
15.4;0.005;0.123;0.002
15.3;0.005;0.156;0.002
15.15;0.005;0.215;0.002
15;0.005;0.27;0.002
14.8;0.005;0.374;0.005
14.65;0.005;0.422;0.002
14.5;0.005;0.461;0.002
14.25;0.005;0.53;0.001
13.5;0.005;0.65;0.01
14.9;0.005;0.33;0.02
14;0.005;0.57;0.02
14.4;0.005;0.5;0.01
