x [mm];delta x[mm];U [V];delta U [V]
6.5;0.005;0.0011;0.0001
1.5;0.005;0.58;0.02
4;0.005;0.49;0.03
3.5;0.005;0.59;0.03
3;0.005;0.64;0.02
2.5;0.005;0.66;0.02
4.5;0.005;0.32;0.02
4.25;0.005;0.43;0.02
4.6;0.005;0.26;0.01
4.7;0.005;0.215;0.01
4.8;0.005;0.168;0.01
5;0.005;0.1;0.001
5.1;0.005;0.075;0.003
5.3;0.005;0.044;0.002
5.5;0.005;0.023;0.002
4.1;0.005;0.48;0.02
