x [mm];delta x[mm];U [V];delta U [V]
0.5;0.005;0.6;0.02
5.5;0.005;0.0022;0.0001
3;0.005;0.24;0.01
3.25;0.005;0.14;0.005
3.4;0.005;0.094;0.002
3.5;0.005;0.073;0.003
3.75;0.005;0.04;0.002
4;0.005;0.017;0.001
4.5;0.005;0.0045;0.0001
2.5;0.005;0.46;0.02
2;0.005;0.6;0.01
2.75;0.005;0.375;0.02
2.9;0.005;0.29;0.02
2.3;0.005;0.52;0.03
3.1;0.005;0.19;0.015
2.85;0.005;0.33;0.01
2.2;0.005;0.57;0.02
