x [mm];delta x[mm];U [V];delta U [V]
5.47;0.005;0.003;0.001
1.47;0.005;0.665;0.007
3;0.005;0.6;0.01
4;0.005;0.147;0.01
4.5;0.005;0.038;0.001
5;0.005;0.0087;0.0001
5.3;0.005;0.0043;0.0001
6;0.005;0.0025;0.0001
3.5;0.005;0.377;0.01
3.75;0.005;0.25;0.01
3.25;0.005;0.43;0.01
3.6;0.005;0.3;0.01
3.4;0.005;0.4;0.02
4.25;0.005;0.075;0.004
3.1;0.005;0.52;0.02
2.5;0.005;0.63;0.02
