x [mm];delta x[mm];U [V];delta U [V]
15;0.005;0.0064;0.0002
14;0.005;0.0066;0.0002
13;0.005;0.0092;0.0002
12.7;0.005;0.17;0.01
12.75;0.005;0.08;0.0003
12.72;0.005;0.135;0.0005
12.68;0.005;0.24;0.0005
12.65;0.005;0.33;0.01
12.63;0.005;0.37;0.01
12.61;0.005;0.41;0.03
12.5;0.005;0.6;0.02
12.58;0.005;0.52;0.02
12.55;0.005;0.54;0.04
12.66;0.005;0.31;0.01
12.5;0.005;0.62;0.03
12.6;0.005;0.46;0.03
