x [mm];delta x[mm];U [V];delta U [V]
8.5;0.005;0.0066;0.0001
8;0.005;0.0123;0.0001
7.5;0.005;0.048;0.001
7.2;0.005;0.083;0.001
7;0.005;0.12;0.003
6.75;0.005;0.165;0.005
6.6;0.005;0.205;0.005
6.4;0.005;0.25;0.005
6.2;0.005;0.297;0.005
6;0.005;0.348;0.01
5.8;0.005;0.395;0.01
4.6;0.005;0.56;0.01
5.6;0.005;0.42;0.01
5.5;0.005;0.455;0.01
5.3;0.005;0.49;0.02
5.1;0.005;0.52;0.02
4.85;0.005;0.535;0.01
