x [mm];delta x[mm];U [V];delta U [V]
8.06;0.005;0.37;0.01
8.03;0.005;0.42;0.02
8;0.005;0.51;0.02
7.97;0.005;0.56;0.02
7.9;0.005;0.56;0.01
7.5;0.005;0.56;0.02
8.08;0.005;0.265;0.01
8.07;0.005;0.305;0.01
8.1;0.005;0.2;0.01
8.12;0.005;0.155;0.01
8.14;0.005;0.11;0.01
8.16;0.005;0.058;0.005
8.18;0.005;0.035;0.002
8.2;0.005;0.021;0.001
8.25;0.005;0.0117;0.0005
8.065;0.005;0.32;0.01
8.09;0.005;0.239;0.005
8.02;0.005;0.45;0.02
