x [mm];delta x[mm];U [V];delta U [V]
10;0.005;0.0066;0.0001
9.5;0.005;0.0082;0.0001
9.25;0.005;0.043;0.002
9.17;0.005;0.083;0.003
9.12;0.005;0.127;0.005
9.07;0.005;0.18;0.01
9;0.005;0.24;0.01
8.95;0.005;0.3;0.01
8.9;0.005;0.35;0.01
8.85;0.005;0.38;0.02
8.78;0.005;0.46;0.02
8.65;0.005;0.5;0.02
8.6;0.005;0.54;0.03
8.5;0.005;0.56;0.02
8.4;0.005;0.575;0.02
