x [mm];delta x[mm];U [V];delta U [V]
5;0.005;0.0063;0.0001
4;0.005;0.019;0.001
4.5;0.005;0.0069;0.0001
3.9;0.005;0.034;0.002
3.75;0.005;0.065;0.003
3.55;0.005;0.12;0.005
3.37;0.005;0.19;0.007
3.2;0.005;0.27;0.01
3;0.005;0.35;0.02
2.9;0.005;0.375;0.02
2.8;0.005;0.42;0.02
2.7;0.005;0.475;0.02
2.55;0.005;0.51;0.03
2.35;0.005;0.54;0.02
2.1;0.005;0.57;0.02
2;0.005;0.57;0.02
3.3;0.005;0.225;0.015
